City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,galliano,29.4422,-90.2992,38.33,49,40,3.09,US,1691263532
84,konarka,19.9,86.1167,27.22,78,96,4.94,IN,1691263532
85,lyubinskiy,55.1542,72.6925,18.82,94,64,2.71,RU,1691263532
86,twon-brass,4.3151,6.2418,25.72,83,56,6.96,NG,1691263532
87,katsuura,35.1333,140.3,26.15,88,2,4.21,JP,1691263533
88,hawaiian paradise park,19.5933,-154.9731,25.5,91,100,2.06,US,1691263533
89,mishan,45.55,131.8833,15.59,98,99,2.43,CN,1691263264
90,lihue,21.9789,-159.3672,27.77,71,20,5.66,US,1691263533
91,coquimbo,-29.9533,-71.3436,14.85,88,100,4.63,CL,1691263298
92,nabire,-3.3667,135.4833,23.17,92,100,2.66,ID,1691263533
93,igarka,67.4667,86.5833,14.7,62,0,2.28,RU,1691263353
94,cabo san lucas,22.8909,-109.9124,35.34,66,40,6.17,MX,1691263270
95,gebeit,21.0667,36.3167,31.34,41,100,4.54,SD,1691263534
96,puerto maldonado,-12.6,-69.1833,35.22,43,20,2.57,PE,1691263534
97,petrolina,-9.3986,-40.5008,31.03,29,0,4.63,BR,1691263396
98,semirom,31.4167,51.5667,20.33,21,2,1.71,IR,1691263534
99,kodiak,57.79,-152.4072,11.73,94,100,3.09,US,1691263306
100,nar'yan-mar,67.6713,53.087,19.82,81,19,2.92,RU,1691263446
101,uturoa,-16.7333,-151.4333,25.78,73,5,3.54,PF,1691263534
102,nizhneudinsk,54.9076,99.0276,12.29,88,100,0.56,RU,1691263534
103,kapuskasing,49.4169,-82.4331,23.05,40,40,3.09,CA,1691263404
104,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,6.17,EC,1691263349
105,vilhena,-12.7406,-60.1458,34.12,29,40,2.06,BR,1691263535
106,anadyr,64.75,177.4833,11.28,87,75,9.0,RU,1691263535
107,talnakh,69.4865,88.3972,13.45,52,0,0.36,RU,1691263361
108,aasiaat,68.7098,-52.8699,1.87,93,86,2.63,GL,1691263275
109,fortuna,40.5982,-124.1573,21.07,80,0,6.17,US,1691263331
110,mitu,1.1983,-70.1733,32.18,50,56,1.59,CO,1691263535
111,babruysk,53.15,29.2333,22.91,67,0,3.53,BY,1691263536
112,cuero,29.0939,-97.2892,38.34,38,6,3.13,US,1691263368
113,bilibino,68.0546,166.4372,4.17,96,100,2.66,RU,1691263536
114,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,3.0,RU,1691263354
115,yamada,39.4667,141.95,24.12,86,30,1.81,JP,1691263536
116,colonia,50.9333,6.95,17.36,86,0,2.57,DE,1691263456
117,forrest city,35.0081,-90.7898,38.33,37,4,3.84,US,1691263536
118,kimbe,-5.5502,150.1429,24.0,79,98,3.53,PG,1691263536
119,griffith,41.5284,-87.4237,22.19,91,100,4.63,US,1691263359
120,roxas,11.5853,122.7511,25.08,81,13,2.24,PH,1691263537
121,ban tak,17.0432,99.0813,24.55,90,100,2.53,TH,1691263537
122,bikenibeu village,1.3673,173.1241,27.98,83,75,1.03,KI,1691263537
123,san antonio de pale,-1.4014,5.6325,22.8,76,44,4.7,GQ,1691263537
124,karachayevsk,43.774,41.9142,18.63,87,0,2.38,RU,1691263537
125,yelizovo,53.1873,158.3805,13.08,100,75,3.13,RU,1691263537
126,punta arenas,-53.15,-70.9167,4.83,91,100,13.05,CL,1691263283
127,pariaman,-0.619,100.12,24.03,89,59,1.47,ID,1691263538
128,carbonear,47.7332,-53.2148,21.19,76,32,4.54,CA,1691263538
129,iskateley,67.6803,53.1512,19.77,81,17,2.91,RU,1691263538
130,waitara,-38.925,174.25,6.67,80,10,2.19,NZ,1691263538
131,west island,-12.1568,96.8225,24.99,88,75,7.72,CC,1691263538
132,mount gambier,-37.8333,140.7667,6.98,89,90,0.9,AU,1691263430
133,petrove,48.3247,33.2562,27.07,41,0,4.38,UA,1691263538
134,quellon,-43.1167,-73.6167,9.14,76,75,3.09,CL,1691263282
135,trairi,-3.2778,-39.2689,28.56,61,68,6.66,BR,1691263480
136,concepcion,-36.827,-73.0498,12.89,88,75,5.66,CL,1691263291
137,antonio enes,-16.2325,39.9086,22.63,83,10,3.93,MZ,1691263539
138,caleta de carquin,-11.0925,-77.6267,21.08,68,71,4.46,PE,1691263539
139,zheleznogorsk-ilimskiy,56.5768,104.1217,6.89,93,0,1.68,RU,1691263539
140,tangalle,6.024,80.7911,26.5,83,100,5.4,LK,1691263367
141,port lincoln,-34.7333,135.8667,11.59,63,100,3.31,AU,1691263318
142,puerto ayora,-0.7393,-90.3518,28.98,90,36,5.81,EC,1691263441
143,st. john's,47.5649,-52.7093,20.93,73,75,6.17,CA,1691263540
144,marsabit,2.3284,37.9899,20.95,51,14,10.42,KE,1691263540
145,thinadhoo,0.5333,72.9333,27.82,77,100,4.46,MV,1691263279
146,saipan,15.1355,145.701,27.58,100,0,0.45,MP,1691263540
147,khandyga,62.6667,135.6,13.98,71,100,0.59,RU,1691263496
148,padang,-0.9492,100.3543,24.03,89,20,1.87,ID,1691263540
149,toccoa,34.5773,-83.3324,32.93,55,0,2.06,US,1691263540
150,palmer,42.1584,-72.3287,29.58,49,75,2.06,US,1691263331
151,wangqing,43.3218,129.7634,18.69,99,100,1.18,CN,1691263541
152,berdigestyakh,62.0989,126.6992,14.66,55,100,0.87,RU,1691263541
153,lebu,-37.6167,-73.65,12.96,70,0,2.01,CL,1691263541
154,kristiansund,63.1115,7.732,14.03,67,75,2.57,NO,1691263541
155,tumayr,25.7039,45.868,33.97,11,34,4.27,SA,1691263541
156,dryden,49.7833,-92.7503,27.16,47,40,4.63,CA,1691263347
157,hirara,24.8,125.2833,28.15,89,100,9.26,JP,1691263337
158,moshi,-3.35,37.3333,20.72,73,83,1.96,TZ,1691263541
159,revelstoke,50.9832,-118.2023,27.01,44,0,3.09,CA,1691263509
160,guiuan,11.0333,125.7247,28.72,74,5,4.71,PH,1691263543
161,ust-nera,64.5667,143.2,12.99,68,100,2.26,RU,1691263391
162,kashgar,39.4547,75.9797,28.56,28,40,3.0,CN,1691263463
163,vila franca do campo,37.7167,-25.4333,23.23,71,100,2.82,PT,1691263361
164,cockburn town,21.4612,-71.1419,30.98,66,40,6.17,TC,1691263449
165,queenstown,-31.8976,26.8753,13.93,33,0,2.72,ZA,1691263543
166,saint-philippe,-21.3585,55.7679,21.77,81,87,7.75,RE,1691263543
167,afaahiti,-17.75,-149.2833,25.93,76,18,1.24,PF,1691263395
168,ankang,32.68,109.0172,23.6,92,100,0.67,CN,1691263366
169,lamu,-2.2717,40.902,25.12,82,100,7.22,KE,1691263544
170,at taj,24.2049,23.2857,35.15,13,0,5.95,LY,1691263544
171,jamestown,42.097,-79.2353,25.01,65,100,2.57,US,1691263436
172,uzgen,40.7699,73.3007,26.16,28,35,2.48,KG,1691263544
173,katsuren-haebaru,26.3369,127.8719,27.43,96,100,20.06,JP,1691263544
174,tsiombe,-25.3,45.4833,19.35,62,0,6.69,MG,1691263355
175,margate,51.3813,1.3862,16.61,90,47,2.68,GB,1691263544
176,hermanus,-34.4187,19.2345,9.89,89,100,1.91,ZA,1691263544
177,damghan,36.1683,54.348,29.43,39,8,1.64,IR,1691263545
178,djamaa,33.5339,5.9931,31.76,18,0,1.14,DZ,1691263545
179,mudurnu,40.473,31.2076,25.04,53,0,1.95,TR,1691263545
180,kidal,18.4411,1.4078,30.6,47,100,5.15,ML,1691263545
181,balimila,18.25,82.1333,23.5,90,93,0.97,IN,1691263545
182,tulun,54.5611,100.5792,12.86,67,81,1.66,RU,1691263545
183,hammerfest,70.6634,23.6821,11.25,76,100,7.72,NO,1691263406
184,klyuchi,52.2667,79.1667,19.4,68,89,1.81,RU,1691263545
